shipping_group,shipping_group_code,product_code,product_name,product_group,volume_m3,weight_ton,quantity_by_volume,quantity_by_weight,final_qty,loaded_weight_ton,limiting_factor
" 60 , 50 , 40 GSS0",241128,301010600002,RCWW045PAAA,Chiller Compressor,7.0,0.0,2.642857142857143,inf,2.642857142857143,0.0,volume
" 60 , 50 , 40 GSS0",241128,302010200009,GVM-H125USGSJ,Outdoor,0.061985,0.085,298.4593046704848,23.52941176470588,23.52941176470588,2.0,weight
 9000 IN & OD,241101,301010100056,OD TNUC0908TOO,Outdoor,1.032,0.06,17.926356589147286,33.333333333333336,17.926356589147286,1.0755813953488371,volume
 9000 IN & OD,241101,301010200031,ARNU07GBHA4,Indoor,0.208824,0.031,88.59134965329655,64.51612903225806,64.51612903225806,2.0,weight
 9000 IN & OD,241101,301010200033,ARNU09GTRC2,Indoor,0.122801,0.0,150.65023900456836,inf,150.65023900456836,0.0,volume
 9000 IN & OD,241101,301010200034,ARNU09GTUC4,Indoor,0.157317,0.0,117.59695392106383,inf,117.59695392106383,0.0,volume
 9000 IN & OD,241101,301010200035,ARNU09GBHA4,Indoor,0.215914,0.0,85.68226238224479,inf,85.68226238224479,0.0,volume
 9000 IN & OD,241101,301010200036,ARNU09GL1G4,Indoor,0.171672,0.0215,107.76364229460833,93.0232558139535,93.0232558139535,2.0,weight
 9000 IN & OD,241101,301010200037,ARNU09GSJN4/,Indoor,0.086775,0.0,213.1950446557188,inf,213.1950446557188,0.0,volume
 9000 IN & OD,241101,301010200038,ARNU09GM1A4,Indoor,0.3003,0.031,61.6050616050616,64.51612903225806,61.6050616050616,1.9097569097569096,volume
 9000 IN & OD,241101,301010200039,ARNU09GTRD4,Indoor,0.12818,0.0,144.32828834451553,inf,144.32828834451553,0.0,volume
 9000 IN & OD,241101,301010200744,ARNU09GTUB4/,Indoor,0.1512,0.018,122.35449735449735,111.11111111111111,111.11111111111111,2.0,weight
 9000 IN & OD,241101,301010200813,ARNU09GTRB4/,Indoor,0.13266,0.0,139.45424393185587,inf,139.45424393185587,0.0,volume
 9000 IN & OD,241101,301010203246,ARNU09GSJN4,IN/OD,0.086775,0.0113,213.1950446557188,176.99115044247787,176.99115044247787,1.9999999999999998,weight
 9000 IN & OD,241101,301010203261,ARNU09GTRB4,IN/OD,0.12818,0.019,144.32828834451553,105.26315789473685,105.26315789473685,2.0,weight
 9000 IN & OD,241101,301010203333,ARNU09GTUB4,IN/OD,0.157248,0.019,117.64855514855515,105.26315789473685,105.26315789473685,2.0,weight
 9000 IN & OD,241101,301010800007,IN TMNW096TCA0,Indoor,0.11515,0.0,160.6600086843248,inf,160.6600086843248,0.0,volume
 9000 IN & OD,241101,301030900034,OD NP097SK1,Outdoor,0.287712,0.0,64.30041152263374,inf,64.30041152263374,0.0,volume
 9000 IN & OD,241101,301030900036,OD NT099SQ1,Outdoor,0.136369,0.0,135.6613306543276,inf,135.6613306543276,0.0,volume
 9000 IN & OD,241101,302030900715,GAC-TM9LU1,Outdoor,0.16236,0.0,113.94432126139444,inf,113.94432126139444,0.0,volume
 9000 IN & OD,241101,302030900721,GAC-TM9LN1,Indoor,0.086913,0.0,212.85653469561515,inf,212.85653469561515,0.0,volume
 9000 IN & OD,241101,302030901701,GAC-HF09MN1,Indoor,0.089775,0.0,206.07073238652188,inf,206.07073238652188,0.0,volume
 9000 IN & OD,241101,302030901702,GAC-HF09MU1,Outdoor,0.13904,0.0,133.05523590333718,inf,133.05523590333718,0.0,volume
 9000 IN & OD,241101,302030901719,GAC-HV09MN1,Indoor,0.089775,0.0,206.07073238652188,inf,206.07073238652188,0.0,volume
 9000 IN & OD,241101,302030901720,GAC-HV09MU1,Outdoor,0.13904,0.0,133.05523590333718,inf,133.05523590333718,0.0,volume
 9000 IN & OD,241101,302030901950,GAC-HF09TQN1,Indoor,0.08883,0.012,208.262974220421,166.66666666666666,166.66666666666666,2.0,weight
 9000 IN & OD,241101,302030901951,GAC-HF09TQU1,Outdoor,0.140778,0.018,131.41257866996264,111.11111111111111,111.11111111111111,2.0,weight
 9000 IN & OD,241101,302030901972,GAC-HV09CBN1,Indoor,0.076626,0.012,241.43241197504764,166.66666666666666,166.66666666666666,2.0,weight
 9000 IN & OD,241101,302030901973,GAC-HV09CBU1,Outdoor,0.136512,0.02,135.51922175339897,100.0,100.0,2.0,weight
 9000 IN & OD,241101,302030901974,GAC-HV09TVN1,Indoor,0.086292,0.012,214.3883558151393,166.66666666666666,166.66666666666666,2.0,weight
 9000 IN & OD,241101,302030901975,GAC-HV09TVU1,Outdoor,0.14256,0.02,129.7699214365881,100.0,100.0,2.0,weight
 9000 IN & OD,241101,302030902486,GAC-TF09TPN1,Indoor,0.10208,0.01,181.23040752351096,200.0,181.23040752351096,1.8123040752351096,volume
 9000 IN & OD,241101,302030902487,GAC-TF09TPU1,Outdoor,0.125664,0.0245,147.21797810033104,81.63265306122449,81.63265306122449,2.0,weight
 9000 IN & OD,241101,302030902496,GAC-TV09TPN1,Indoor,0.10324,0.01,179.19411080976366,200.0,179.19411080976366,1.7919411080976366,volume
 9000 IN & OD,241101,302030902497,GAC-TV09TPU1,Outdoor,0.15521,0.024,119.19335094388249,83.33333333333333,83.33333333333333,2.0,weight
 9000 IN & OD,241101,302030902591,GAC-TF09TPN1B,Indoor,0.08316,0.01,222.46272246272247,200.0,200.0,2.0,weight
 9000 IN & OD,241101,302030902592,GAC-TF09TPU1B,Outdoor,0.1273,0.024,145.32600157109192,83.33333333333333,83.33333333333333,2.0,weight
 9000 IN & OD,241101,302030902609,GAC-TV09TPN1B,Indoor,0.08428,0.01,219.50640721404844,200.0,200.0,2.0,weight
 9000 IN & OD,241101,302030902610,GAC-TV09TPU1B,Outdoor,0.15338,0.024,120.61546485852134,83.33333333333333,83.33333333333333,2.0,weight
 9000 IN & OD,241101,302030902639,GAC-TF09TPN1A,Indoor,0.0882,0.01,209.75056689342404,200.0,200.0,2.0,weight
 9000 IN & OD,241101,302030902640,GAC-TF09TPU1A,Outdoor,0.14025,0.0245,131.9073083778966,81.63265306122449,81.63265306122449,2.0,weight
 9000 IN & OD,241101,302030902657,GAC-TV09TPN1A,Indoor,0.0882,0.01,209.75056689342404,200.0,200.0,2.0,weight
 9000 IN & OD,241101,302030902658,GAC-TV09TPU1A,Outdoor,0.14025,0.024,131.9073083778966,83.33333333333333,83.33333333333333,2.0,weight
 9000 IN & OD,241101,302030902663,GAC-TV24TPN1A,Indoor,0.162624,0.016,113.75934671389217,125.0,113.75934671389217,1.8201495474222749,volume
 9000 IN & OD,241101,302030902664,GAC-TV24TPU1A,Outdoor,0.27846,0.05,66.4368311427135,40.0,40.0,2.0,weight
 9000 IN & OD,241101,302030902671,GAC-TF09TPN1I,Indoor,0.077056,0.012,240.08513289036546,166.66666666666666,166.66666666666666,2.0,weight
 9000 IN & OD,241101,302030902672,GAC-TF09TPU1I,Outdoor,0.12074,0.0245,153.22179890674175,81.63265306122449,81.63265306122449,2.0,weight
 9000 IN & OD,241101,302030902689,GAC-TV09TPN1I,Indoor,0.08064,0.012,229.41468253968253,166.66666666666666,166.66666666666666,2.0,weight
 9000 IN & OD,241101,302030902690,GAC-TV09TPU1I,Outdoor,0.14243,0.024,129.8883662149828,83.33333333333333,83.33333333333333,2.0,weight
 9000 IN & OD,241101,302030903532,GAC-TV09TPN1J,Indoor,0.087696,0.01,210.95602992154718,200.0,200.0,2.0,weight
 9000 IN & OD,241101,302030903533,GAC-TV09TPU1J,Outdoor,0.140712,0.024,131.47421684007048,83.33333333333333,83.33333333333333,2.0,weight
 9000 IN & OD,241101,307030904007,NAC-TV09ELN1A,Indoor,0.07574,0.0105,244.25666754687086,190.47619047619045,190.47619047619045,1.9999999999999998,weight
 9000 IN & OD,241101,307030904008,NAC-TV09ELU1A,Outdoor,0.15239,0.028,121.3990419318853,71.42857142857143,71.42857142857143,2.0,weight
 9000 IN & OD,241101,399999901911,09RT1 MAGIC(OUTDOOR),Outdoor,0.131208,0.0,140.99750015242975,inf,140.99750015242975,0.0,volume
 9000 IN & OD,241101,399999901912,09RT1 MAGIC(INDOOR),Indoor,0.07854,0.0,235.54876496052967,inf,235.54876496052967,0.0,volume
 AV Vid & Aud,241011,093430011111,GPA-KN35N,Audio System,0.06216,0.0,297.6190476190476,inf,297.6190476190476,0.0,volume
 AV Vid & Aud,241011,093430011112,GPA-KB56N,Audio System,0.073882,0.0,250.39928534690452,inf,250.39928534690452,0.0,volume
 AV Vid & Aud,241011,093430011113,GPA-KB37N,Audio System,0.175483,0.0,105.4233173583766,inf,105.4233173583766,0.0,volume
 AV Vid & Aud,241011,093430021111,GSO-K225SN,Audio System,0.103356,0.0,178.99299508494911,inf,178.99299508494911,0.0,volume
 AV Vid & Aud,241011,093430021112,GSO-K624EN,Audio System,0.154715,0.0,119.5747018711825,inf,119.5747018711825,0.0,volume
 AV Vid & Aud,241011,093430021113,GSO-K6315SN,Audio System,0.26334,0.0,70.25138604085971,inf,70.25138604085971,0.0,volume
 AV Vid & Aud,241011,095510005111,Soundbar-S95QR,Audio System,0.216412,0.014,85.48509324806388,142.85714285714286,85.48509324806388,1.1967913054728943,volume
 AV Vid & Aud,241011,095510005112,Soundbar-SNC4R,Audio System,0.101376,0.01,182.48895202020202,200.0,182.48895202020202,1.8248895202020203,volume
 AV Vid & Aud,241011,095510005113,Speaker-ON9,Audio System,0.23,0.025,80.43478260869564,80.0,80.0,2.0,weight
 AV Vid & Aud,241011,095510005114,Speaker-ON7,Audio System,0.1584,0.02,116.79292929292929,100.0,100.0,2.0,weight
 AV Vid & Aud,241011,095510005115,Soundbar-SN7Y,Audio System,0.108,0.01,171.2962962962963,200.0,171.2962962962963,1.712962962962963,volume
 AV Vid & Aud,241011,095510005116,Speaker-ON5,Audio System,0.14391,0.012,128.5525675769578,166.66666666666666,128.5525675769578,1.5426308109234939,volume
 AV Vid & Aud,241011,095510005117,Soundbar-S80QR,Audio System,0.17226,0.0135,107.39579705096946,148.14814814814815,107.39579705096946,1.4498432601880877,volume
 AV Vid & Aud,241011,095510005118,Speaker-XO3QPK,Audio System,0.021689,0.005,852.9669417677163,400.0,400.0,2.0,weight
 AV Vid & Aud,241011,095510005119,XO3QBK,Audio System,0.021689,0.005,852.9669417677163,400.0,400.0,2.0,weight
 AV Vid & Aud,241011,095510005120,Speaker-XO3QBE,Audio System,0.021689,0.005,852.9669417677163,400.0,400.0,2.0,weight
 AV Vid & Aud,241011,095510005122,Soundbar-SH7Q,Audio System,0.16625,0.01,111.27819548872179,200.0,111.27819548872179,1.112781954887218,volume
 AV Vid & Aud,241011,095510005123,Soundbar-S75QR,Audio System,0.118675,0.013,155.88792921845376,153.84615384615384,153.84615384615384,1.9999999999999998,weight
 AV Vid & Aud,241011,095510005124,Speaker-XG9QBK,Audio System,0.054351,0.005,340.38012180088685,400.0,340.38012180088685,1.7019006090044344,volume
 AV Vid & Aud,241011,095510005125,Harman Kardon Aura Studio 3 Wireless BT Speaker (Black),Audio System,0.02668,0.004,693.4032983508246,500.0,500.0,2.0,weight
