shipping_group,shipping_group_code,products,median_loaded_weight,max_loaded_weight
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0
 9000 IN & OD,241101,53,2.0,2.0
 AV Vid & Aud,241011,137,0.0,2.0
 FDP Table,241015,208,0.0,2.0
 Handsfree,241504,6,0.0,0.0
 Motherboard,241201,9,0.2569444444444445,2.0
 Motherboard,241501,3,0.0,0.0
 Power bank,241203,2,0.0,0.0
 Power bank,241503,41,0.0,0.0
 REF (TF / BF),241016,507,1.212437975195813,1.7575
 REF F,241018,9,1.580026191425155,1.60427807486631
 REF L,241017,13,1.4695909515707748,1.580026191425155
 SXS (all size),241019,517,1.3146933250026034,2.0
 Smart watch,241505,3,0.0,0.0
 Speaker,241202,6,2.0,2.0
 Speaker,241502,22,0.0,2.0
" TV & Monitor (21""-32"")",241003,134,1.59646466588246,2.0
" TV(40""-50"")",241004,561,1.4979310469444544,2.0
" TV(51""-65"")",241005,639,1.5239225130148384,2.0
" TV(>65"")",241006,223,1.3542707369719396,2.0
 استند,241219,8,0.33976124885215797,2.0
" اسمارت برد""65",241214,7,1.9999999999999998,2.0
" اسمارت برد""65",241513,1,0.0,0.0
" اسمارت برد""75",241215,5,0.0,2.0
" اسمارت برد""75",241514,1,0.0,0.0
" اسمارت برد""86",241216,4,1.3984112409383278,1.5529533094694177
" اسمارت برد""86",241515,1,0.0,0.0
" اسمارت برد""98",241218,4,0.832208726945569,1.85
 رک / براکت,241208,11,2.0,2.0
 سایر,241207,50,0.06607142857142857,2.0
 پرینتر / کارتریج,241212,10,2.0,2.0
 کیبورد ، موس,241206,4,2.0,2.0
"(140/160/180/200/220) LTE4,5",241123,35,2.0,2.0
"(80/100/120)LTE4,5",241122,13,2.0,2.0
12000 IN & OD,241102,95,1.9999999999999998,2.0
18000 IN & OD,241103,103,1.9999999999999998,2.0
24000 IN & OD,241104,157,1.9713619713619712,2.0
27000 IN & OD,241105,10,0.0,2.0
30000 IN & OD,241106,102,2.0,2.0
36000 IN & OD,241107,63,1.6767097785616303,2.0
48000 IN & OD,241108,79,1.6614445087512721,2.0
50000 IN & OD,241109,2,1.0,2.0
55000 IN & OD,241110,17,0.0,2.0
60000 IN & OD,241111,50,1.1859117011539766,2.0
AC 12000 IN & OD,241021,9,0.0,0.0
AC 12000 IN & OD,241421,51,2.0,2.0
AC 18000 IN & OD,241022,11,0.0,0.0
AC 18000 IN & OD,241422,52,2.0,2.0
AC 24000 IN & OD,241023,18,0.0,1.9999999999999998
AC 24000 IN & OD,241423,54,2.0,2.0
AC 27000 IN & OD,241024,1,0.0,0.0
AC 30000 IN & OD,241025,1,0.0,0.0
AC 30000 IN & OD,241425,38,2.0,2.0
AC 36000 IN & OD,241026,5,0.0,0.0
AC 36000 IN & OD,241426,10,0.0,2.0
AC 48000 IN & OD,241027,2,0.0,0.0
AC 48000 IN & OD,241427,16,1.671069406591477,2.0
AC 50000 IN & OD,241028,2,0.0,0.0
AC 55000 IN & OD,241429,2,0.0,0.0
AC 60000 IN & OD,241030,2,0.0,0.0
AC 60000 IN & OD,241430,10,1.600162954329621,2.0
AC 9000  IN & OD,241020,6,0.0,0.0
AC 9000  IN & OD,241420,24,2.0,2.0
AP,241009,4,0.0,0.0
AP,241409,2,0.0,0.0
ARNU…(in)-MDV,241124,118,1.9999999999999998,2.0
ARNU…(od)-MDV,241125,53,2.0,2.0
ATUW…(in),241126,4,2.0,2.0
ATUW…(od),241127,3,0.0,2.0
All In one-laptop Mini-PC,241509,7,0.0,0.0
All In one-laptop Mini-PC-Android box,241209,38,0.0,2.0
COIL,241115,33,1.9999999999999998,2.0
Copper Pipe/Remote control/accessory,241135,90,1.1434128307193323,2.0
DW,241012,303,1.913871098195224,2.0
DW,241412,11,1.7242473039574486,2.0
FRAME,241114,60,1.2630420285207093,2.0
GL-SP25,241131,3,0.6423611111111112,0.6423611111111112
GL-SP35/65,241132,4,1.3211805555555556,2.0
GL-V…,241129,4,1.93425,2.0
GLK-(800/900/950/1000/1200),241120,20,0.0,2.0
GLK-300(T3-G-D-C-F4),241116,17,1.6793754538852577,2.0
GLK-400(T3-G-C-F4),241117,16,0.0,2.0
GLK-600(T3-G-A-C-F4),241118,25,0.1659688995215311,2.0
GLKA-750,241119,1,2.0,2.0
GLT3H (1200 / 1600 / 2200),241121,22,1.9724558452481076,2.0
HEAVY ITEM,253005,282,1.2025000000000001,2.0
Headset/Handsfree/Other Small Products,251701,11,1.6313932980599648,2.0
LZ-H…,241130,6,2.0,2.0
MWO,241008,108,0.0,2.0
MWO,241408,1,2.0,2.0
Mobile phone / Smart Watch / Android Box-all,241002,53,0.0,1.681818181818182
REF (TF / BF),241416,18,0.0,1.6308480462892228
SXS (all size),241419,40,0.0,1.4536557282671274
Speaker 110/120,251703,12,2.0,2.0
Speaker 1100,251704,11,1.9922658965196534,2.0
Speaker 310/320,251702,9,2.0,2.0
Speaker 710/720,251705,100,2.0,2.0
TCA / UCHS020 /UCHS040,241133,10,0.0,0.0
"TV & Monitor (21""-32"")",241403,7,1.5530864197530867,2.0
"TV(40""-50"")",241404,45,1.2095659722222223,1.9673605210988387
"TV(51""-65"")",241405,38,1.3806399972862455,2.0
"TV(>65"")",241406,8,1.3677430960390342,2.0
"VCL (Compressor, Bag)",241007,67,0.0,2.0
"VCL (Compressor, Bag)",241407,4,0.0,0.0
WM <=11KG,241013,719,2.0,2.0
WM <=11KG,241413,38,0.0,2.0
Without income (GLC.Co),240000,13,1.133578431372549,2.0
استند,241518,6,0.3737373737373737,2.0
باتری قلمی و نیم قلمی,B-AA-AAA,95,2.0,2.0
تبلیغاتی (1 ریالی),2012,17,0.7551020408163266,0.7551020408163266
تصفیه هوا 450 / 650,241112,6,0.0,0.0
مانیتور / نمایشگر تا 32 اینچ,241210,46,1.9830917874396135,2.0
مانیتور / نمایشگر تا 32 اینچ,241510,16,0.0,2.0
محصولات شوینده  (طبق ابعاد کارتن ماکرو),241010,4,0.0,0.0
محصولات شوینده  (طبق ابعاد کارتن ماکرو),241410,11,0.0,0.0
موتور جارو برقی,2000,89,2.0,2.0
"نمایشگر از ""40 تا ""49",241211,38,0.0,2.0
"نمایشگر از ""50 تا 64""",241213,31,1.3151534108681435,2.0
"نمایشگر بزرگ تر از ""65",241217,18,1.4236748140235584,2.0
پاکت | 0.05 >حجم(m3) | 2=>وزن (kg)>1,253001,893,1.3875,2.0
کارتن بزرگ | 1.3>حجم (m3)=>90 | 0.44>وزن (kg)=>40,253004,873,1.48,2.0
کارتن متوسط | 0.44>حجم (m3)=>40 | 0.3>وزن (kg)=>12,253003,817,2.0,2.0
کارتن کوچک | 0.3>حجم (m3)=>12 | 0.05>وزن (kg)>2,253002,1912,1.9520945446871374,2.0
کالاهای مارکتینگ- دانه شمار,241001,774,0.0,2.0
کالاهای مارکتینگ- دانه شمار,241401,194,2.0,2.0
کمپرسور کولرگازی   PH440G2CS,2009,1,1.9999999999999998,1.9999999999999998
کمپرسور کولرگازی  HSM215V3UDZ,2007,4,2.0,2.0
کمپرسور کولرگازی  PH310M2CS,2010,8,1.9999999999999998,2.0
کمپرسور کولرگازی  PH400G2CS,2008,3,2.0,2.0
کمپرسور کولرگازی  PH480X3CS,2011,1,1.9999999999999998,1.9999999999999998
کمپرسور یخچال  GITA (70& 71) / GITC,2004,45,2.0,2.0
کمپرسور یخچال Accessories,2005,45,2.0,2.0
کمپرسور یخچال GITA (38),2006,3,2.0,2.0
کمپرسور یخچال Siberia,2002,28,2.0,2.0
کمپرسور یخچال مدل LG,2001,12,2.0,2.0
کپسول گاز  R600A /  R410A,2003,1,2.0,2.0
