shipping_group,shipping_group_code,n_products,median_loaded_weight,max_loaded_weight,dest_province,dest_city,region,km,total_cost
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,یزد,یزد,شرق,622,622.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کهگیلویه و بویراحمد,یاسوج,جنوب,734,734.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,بوشهر,ولایت جم,جنوب,1098,1098.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,ورزقان,غرب,728,728.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,همدان,همدان,مرکز,313,313.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خوزستان,هفتگل,جنوب,797,797.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,هشترود,غرب,572,572.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,هرمزگان,هشتبندی,جنوب,1381,1381.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,هریس سراب,غرب,706,706.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کرمانشاه,هرسین,غرب,479,479.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,هادی شهر,غرب,799,799.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,سیستان و بلوچستان,نیک شهر,شرق,1652,1652.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان رضوی,نیشابور,شرق,770,770.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اردبیل,نیر,غرب,676,676.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,نی ریز,جنوب,968,968.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,نوشهر,شمال,188,188.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,لرستان,نورآباد دلفان,مرکز,500,500.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,نور آباد ممسنی,جنوب,833,833.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,نور,شمال,228,228.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان جنوبی,نهبندان,شرق,1294,1294.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اردبیل,نمین,غرب,663,663.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,نمک آبرود,شمال,185,185.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,نکاء,شمال,323,323.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان غربی,نقده,غرب,752,752.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,نطنز,مرکز,301,301.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,نشتارود,شمال,209,209.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,نجف آباد,مرکز,446,446.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,نائین,مرکز,438,438.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,میمه,مرکز,301,301.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,یزد,میبد,شرق,551,551.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,میانه,غرب,512,512.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان غربی,میاندوآب,غرب,681,681.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,مورچه خورت,مرکز,396,396.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,یزد,مهریز,شرق,645,645.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,ایلام,مهران,غرب,750,750.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان غربی,مهاباد,غرب,727,727.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,ملکان,غرب,676,676.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,همدان,ملایر,مرکز,363,363.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان رضوی,مشهد,شرق,894,894.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اردبیل,مشگین شهر,غرب,731,731.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خوزستان,مسجد سلیمان,جنوب,749,749.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کردستان,مریوان,غرب,601,601.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,مرودشت,جنوب,820,820.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,مرند,غرب,743,743.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,مراغه,غرب,637,637.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,محمود آباد,شمال,229,229.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مرکزی,محلات,مرکز,249,249.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,مبارکه,مرکز,483,483.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خوزستان,ماهشهر,جنوب,885,885.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مرکزی,مامونیه,مرکز,102,102.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان غربی,ماکو,غرب,925,925.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,گیلان,لنگرود,شمال,406,406.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,گیلان,لاهیجان,شمال,391,391.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اردبیل,لاهرود,غرب,710,710.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,لامرد,جنوب,1183,1183.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,لارستان,جنوب,1162,1162.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کرمانشاه,گیلان غرب,غرب,649,649.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,گوگد,مرکز,326,326.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,گلستان,گنبد کاووس,شمال,549,549.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,بوشهر,گناوه,جنوب,1019,1019.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان رضوی,گناباد,شرق,926,926.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,گلوگاه,شمال,372,372.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,گلپایگان,مرکز,335,335.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان رضوی,گلبهار,شرق,866,866.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اردبیل,گرمی,غرب,748,748.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان شمالی,گرمه,شرق,583,583.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,سمنان,گرمسار,شرق,115,115.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,گلستان,گرگان,شمال,431,431.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,گراش,جنوب,1777,1777.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کهگیلویه و بویراحمد,گچساران,جنوب,888,888.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,لرستان,کوهدشت,مرکز,525,525.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,کوهپایه ,مرکز,440,440.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,گیلان,کوچ اصفهان,شمال,376,376.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کرمانشاه,کنگاور,غرب,399,399.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,سیستان و بلوچستان,کنارک,شرق,1770,1770.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,کلیبر,غرب,789,789.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,کلاردشت,شمال,167,167.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,کلار آباد,شمال,190,190.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کرمانشاه,کرمانشاه,غرب,491,491.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کرمان,کرمان,شرق,968,968.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,همدان,کبودر آهنگ,مرکز,283,283.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان رضوی,کاشمر,شرق,828,828.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,کاشان,مرکز,230,230.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,کازرون,جنوب,915,915.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,قیروکارزین,جنوب,1039,1039.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,قیر,جنوب,1006,1006.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,زنجان,قیدار,غرب,353,353.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,قم,قم,مرکز,128,128.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,قزوین,قزوین(محمدیه),شمال,179,179.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,قزوین,قزوین,شمال,199,199.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان غربی,قره ضیاالدین,غرب,845,845.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان جنوبی,قائنات,شرق,1035,1035.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان جنوبی,قائن,شرق,1033,1033.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,قائم شهر,شمال,272,272.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,فیروز آباد,جنوب,932,932.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,گیلان,فومن,شمال,388,388.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,فولادشهر,مرکز,464,464.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,فلاورجان,مرکز,447,447.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان رضوی,فریمان,شرق,907,907.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,فریدونکنار,شمال,237,237.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,فریدونشهر,مرکز,420,420.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,فریدن,مرکز,403,403.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان جنوبی,فردوس,شرق,942,942.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,چهار محال بختیاری,فارسان,جنوب,563,563.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,علویجه,مرکز,439,439.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,بوشهر,عسلویه,جنوب,1173,1173.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,عجبشیر,غرب,676,676.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,عباس آباد تنکابن,شمال,183,183.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,عباس آباد,شمال,203,203.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان جنوبی,طبس,شرق,849,849.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,گیلان,صومعه سرا,شمال,397,397.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,صفاشهر,جنوب,715,715.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کرمانشاه,صحنه,غرب,428,428.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان شمالی,شیروان,شرق,803,803.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,شیراز,جنوب,820,820.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان غربی,شوط,غرب,892,892.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خوزستان,شوشتر,جنوب,687,687.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,چهار محال بختیاری,شهرکرد,جنوب,529,529.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,شهرضا,مرکز,500,500.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,شهر لار,جنوب,1162,1162.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,قزوین,شهر الوند,شمال,195,195.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,شبستر,غرب,736,736.0
