shipping_group,shipping_group_code,n_products,median_loaded_weight,max_loaded_weight,dest_province,region,km_median,total_cost
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان شرقی,غرب,696.0,696.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,آذربایجان غربی,غرب,803.5,803.5
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اردبیل,غرب,698.0,698.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,اصفهان,مرکز,430.0,430.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,ایلام,غرب,644.0,644.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,بوشهر,جنوب,1019.0,1019.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان جنوبی,شرق,1033.0,1033.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان رضوی,شرق,894.0,894.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خراسان شمالی,شرق,700.0,700.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,خوزستان,جنوب,774.0,774.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,زنجان,غرب,353.0,353.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,سمنان,شرق,282.0,282.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,سیستان و بلوچستان,شرق,1647.5,1647.5
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,فارس,جنوب,932.0,932.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,قزوین,شمال,199.0,199.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,قم,مرکز,128.0,128.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,لرستان,مرکز,414.5,414.5
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مازندران,شمال,231.0,231.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,مرکزی,مرکز,249.0,249.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,هرمزگان,جنوب,1261.0,1261.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,همدان,مرکز,299.5,299.5
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,چهار محال بختیاری,جنوب,531.5,531.5
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کردستان,غرب,485.0,485.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کرمان,شرق,968.0,968.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کرمانشاه,غرب,479.0,479.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,کهگیلویه و بویراحمد,جنوب,888.0,888.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,گلستان,شمال,521.0,521.0
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,گیلان,شمال,392.5,392.5
" 60 , 50 , 40 GSS0",241128,2,1.0,2.0,یزد,شرق,623.0,623.0
 9000 IN & OD,241101,53,2.0,2.0,آذربایجان شرقی,غرب,696.0,1392.0
 9000 IN & OD,241101,53,2.0,2.0,آذربایجان غربی,غرب,803.5,1607.0
 9000 IN & OD,241101,53,2.0,2.0,اردبیل,غرب,698.0,1396.0
 9000 IN & OD,241101,53,2.0,2.0,اصفهان,مرکز,430.0,860.0
 9000 IN & OD,241101,53,2.0,2.0,ایلام,غرب,644.0,1288.0
 9000 IN & OD,241101,53,2.0,2.0,بوشهر,جنوب,1019.0,2038.0
 9000 IN & OD,241101,53,2.0,2.0,خراسان جنوبی,شرق,1033.0,2066.0
 9000 IN & OD,241101,53,2.0,2.0,خراسان رضوی,شرق,894.0,1788.0
 9000 IN & OD,241101,53,2.0,2.0,خراسان شمالی,شرق,700.0,1400.0
 9000 IN & OD,241101,53,2.0,2.0,خوزستان,جنوب,774.0,1548.0
 9000 IN & OD,241101,53,2.0,2.0,زنجان,غرب,353.0,706.0
 9000 IN & OD,241101,53,2.0,2.0,سمنان,شرق,282.0,564.0
 9000 IN & OD,241101,53,2.0,2.0,سیستان و بلوچستان,شرق,1647.5,3295.0
 9000 IN & OD,241101,53,2.0,2.0,فارس,جنوب,932.0,1864.0
 9000 IN & OD,241101,53,2.0,2.0,قزوین,شمال,199.0,398.0
 9000 IN & OD,241101,53,2.0,2.0,قم,مرکز,128.0,256.0
 9000 IN & OD,241101,53,2.0,2.0,لرستان,مرکز,414.5,829.0
 9000 IN & OD,241101,53,2.0,2.0,مازندران,شمال,231.0,462.0
 9000 IN & OD,241101,53,2.0,2.0,مرکزی,مرکز,249.0,498.0
 9000 IN & OD,241101,53,2.0,2.0,هرمزگان,جنوب,1261.0,2522.0
 9000 IN & OD,241101,53,2.0,2.0,همدان,مرکز,299.5,599.0
 9000 IN & OD,241101,53,2.0,2.0,چهار محال بختیاری,جنوب,531.5,1063.0
 9000 IN & OD,241101,53,2.0,2.0,کردستان,غرب,485.0,970.0
 9000 IN & OD,241101,53,2.0,2.0,کرمان,شرق,968.0,1936.0
 9000 IN & OD,241101,53,2.0,2.0,کرمانشاه,غرب,479.0,958.0
 9000 IN & OD,241101,53,2.0,2.0,کهگیلویه و بویراحمد,جنوب,888.0,1776.0
 9000 IN & OD,241101,53,2.0,2.0,گلستان,شمال,521.0,1042.0
 9000 IN & OD,241101,53,2.0,2.0,گیلان,شمال,392.5,785.0
 9000 IN & OD,241101,53,2.0,2.0,یزد,شرق,623.0,1246.0
 AV Vid & Aud,241011,137,0.0,2.0,آذربایجان شرقی,غرب,696.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,آذربایجان غربی,غرب,803.5,0.0
 AV Vid & Aud,241011,137,0.0,2.0,اردبیل,غرب,698.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,اصفهان,مرکز,430.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,ایلام,غرب,644.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,بوشهر,جنوب,1019.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,خراسان جنوبی,شرق,1033.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,خراسان رضوی,شرق,894.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,خراسان شمالی,شرق,700.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,خوزستان,جنوب,774.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,زنجان,غرب,353.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,سمنان,شرق,282.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,سیستان و بلوچستان,شرق,1647.5,0.0
 AV Vid & Aud,241011,137,0.0,2.0,فارس,جنوب,932.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,قزوین,شمال,199.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,قم,مرکز,128.0,0.0
 AV Vid & Aud,241011,137,0.0,2.0,لرستان,مرکز,414.5,0.0
 AV Vid & Aud,241011,137,0.0,2.0,مازندران,شمال,231.0,0.0
